Make,Model,Year,HP,Cylinders,Transmission,Drive Mode,Vehicle Style,MPG-H,MPG-C,Popularity,Price,HP_Type,Price_class
FIAT,124 Spider,2017,160,4,MANUAL,rear wheel drive,Convertible,35,26,819,27500,low,low
FIAT,124 Spider,2017,160,4,MANUAL,rear wheel drive,Convertible,35,26,819,25000,low,low
FIAT,124 Spider,2017,160,4,MANUAL,rear wheel drive,Convertible,35,26,819,28200,low,low
Chrysler,200,2015,184,4,AUTOMATIC,front wheel drive,Sedan,36,23,1013,25200,low,low
Chrysler,200,2015,184,4,AUTOMATIC,front wheel drive,Sedan,36,23,1013,24000,low,low
Chrysler,200,2015,295,6,AUTOMATIC,all wheel drive,Sedan,29,18,1013,29400,low,low
Chrysler,200,2015,184,4,AUTOMATIC,front wheel drive,Sedan,36,23,1013,22000,low,low
Chrysler,200,2015,184,4,AUTOMATIC,front wheel drive,Sedan,36,23,1013,26600,low,low
Chrysler,200,2015,295,6,AUTOMATIC,all wheel drive,Sedan,29,18,1013,30800,low,mid
Chrysler,200,2016,184,4,AUTOMATIC,front wheel drive,Sedan,36,23,1013,22000,low,low
Chrysler,200,2016,184,4,AUTOMATIC,front wheel drive,Sedan,36,23,1013,27800,low,low
Chrysler,200,2016,295,6,AUTOMATIC,all wheel drive,Sedan,29,18,1013,31800,low,mid
Chrysler,200,2016,295,6,AUTOMATIC,all wheel drive,Sedan,29,18,1013,29900,low,low
Chrysler,200,2016,184,4,AUTOMATIC,front wheel drive,Sedan,36,23,1013,22500,low,low
Chrysler,200,2016,184,4,AUTOMATIC,front wheel drive,Sedan,36,23,1013,27600,low,low
Chrysler,200,2016,184,4,AUTOMATIC,front wheel drive,Sedan,36,23,1013,25700,low,low
Chrysler,200,2016,184,4,AUTOMATIC,front wheel drive,Sedan,36,23,1013,24500,low,low
Chrysler,200,2017,295,6,AUTOMATIC,all wheel drive,Sedan,28,18,1013,29900,low,low
Chrysler,200,2017,295,6,AUTOMATIC,all wheel drive,Sedan,28,18,1013,31800,low,mid
Chrysler,200,2017,184,4,AUTOMATIC,front wheel drive,Sedan,36,23,1013,26700,low,low
Chrysler,200,2017,184,4,AUTOMATIC,front wheel drive,Sedan,36,23,1013,22500,low,low
Chrysler,200,2017,184,4,AUTOMATIC,front wheel drive,Sedan,36,23,1013,25700,low,low
Chrysler,200,2017,295,6,AUTOMATIC,all wheel drive,Sedan,28,18,1013,30900,low,mid
Chrysler,200,2017,184,4,AUTOMATIC,front wheel drive,Sedan,36,23,1013,27800,low,low
Chrysler,200,2017,184,4,AUTOMATIC,front wheel drive,Sedan,36,23,1013,22000,low,low
Chrysler,200,2017,184,4,AUTOMATIC,front wheel drive,Sedan,36,23,1013,24500,low,low
Chrysler,300,2015,300,6,AUTOMATIC,all wheel drive,Sedan,27,18,1013,37600,high,mid
Chrysler,300,2015,292,6,AUTOMATIC,rear wheel drive,Sedan,31,19,1013,31700,low,mid
